"season","team","total_points","total_yards","rz_eff","rz_td_eff","rz_fg_eff","total_to","def_td","spec_tds"
2019,"CHI",280,4749,0.869565217391304,0.521739130434783,0.347826086956522,18,1,0
2019,"CIN",279,5169,0.8125,0.4375,0.375,28,0,0
2019,"CLE",335,5455,0.88,0.58,0.3,27,1,0
2019,"DAL",434,6904,0.888888888888889,0.574074074074074,0.314814814814815,18,1,0
2019,"DEN",282,4777,0.833333333333333,0.476190476190476,0.357142857142857,16,1,0
2019,"DET",341,5549,0.904761904761905,0.595238095238095,0.30952380952381,22,1,2
2019,"GB",376,5528,0.88,0.64,0.24,12,0,0
2019,"HOU",378,5792,0.924528301886792,0.641509433962264,0.283018867924528,21,2,0
2019,"IND",361,5238,0.910714285714286,0.642857142857143,0.267857142857143,19,1,2
2019,"JAX",300,5468,0.872340425531915,0.404255319148936,0.468085106382979,18,2,0
2019,"KC",451,6067,0.882352941176471,0.529411764705882,0.352941176470588,13,3,0
2019,"LA",394,5998,0.898305084745763,0.644067796610169,0.254237288135593,24,3,0
2019,"LAC",337,5879,0.792452830188679,0.528301886792453,0.264150943396226,29,0,2
2019,"MIA",306,4960,0.854166666666667,0.5625,0.291666666666667,25,1,1
2019,"MIN",407,5656,0.910714285714286,0.607142857142857,0.303571428571429,18,2,0
2019,"NE",420,5664,0.85,0.5,0.35,14,6,1
2019,"NO",458,5982,0.931034482758621,0.603448275862069,0.327586206896552,7,3,2
2019,"NYG",341,5416,0.833333333333333,0.571428571428571,0.261904761904762,33,2,0
2019,"NYJ",276,4368,0.757575757575758,0.545454545454545,0.212121212121212,22,4,0
2019,"LV",313,5819,0.811320754716981,0.528301886792453,0.283018867924528,16,2,0
2019,"PHI",385,5772,0.962962962962963,0.666666666666667,0.296296296296296,20,3,1
2019,"PIT",289,4428,0.875,0.35,0.525,30,3,1
2019,"SEA",405,5991,0.933333333333333,0.633333333333333,0.3,20,3,0
2019,"SF",479,6097,0.870967741935484,0.532258064516129,0.338709677419355,22,5,0
2019,"TB",458,6366,0.839285714285714,0.625,0.214285714285714,40,6,0
2019,"TEN",402,5805,0.8,0.755555555555556,0.0444444444444444,16,3,0
2019,"WAS",266,4395,0.833333333333333,0.476190476190476,0.357142857142857,21,0,0
2020,"ARI",410,6153,0.862068965517241,0.655172413793103,0.206896551724138,21,0,0
2020,"ATL",396,5895,0.896551724137931,0.53448275862069,0.362068965517241,18,1,0
